127.0.0.1 - - [13/May/2024:09:22:58 +0900] "GET / HTTP/1.1" 200 6052
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:21 +0900] "GET / HTTP/1.1" 200 6052
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:25 +0900] "GET /resources/main/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:25 +0900] "GET /resources/main/kakaotalk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:25 +0900] "GET /resources/main/twiiter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:25 +0900] "GET /resources/main/Facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:25 +0900] "GET /resources/main/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:25 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:28 +0900] "GET /board/list HTTP/1.1" 200 13619
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:28 +0900] "GET /resources/board/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:09:23:34 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&board_id=53 HTTP/1.1" 200 7828
0:0:0:0:0:0:0:1 - - [13/May/2024:09:25:51 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&board_id=53 HTTP/1.1" 200 8825
0:0:0:0:0:0:0:1 - - [13/May/2024:09:25:51 +0900] "GET /resources/board/list.css HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [13/May/2024:09:25:51 +0900] "GET /resources/main/twiiter.png HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [13/May/2024:09:25:51 +0900] "GET /resources/main/kakaotalk.png HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [13/May/2024:09:25:51 +0900] "GET /resources/main/Facebook.png HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [13/May/2024:09:25:51 +0900] "GET /resources/main/instagram.png HTTP/1.1" 200 12512
0:0:0:0:0:0:0:1 - - [13/May/2024:09:25:51 +0900] "GET /resources/main/logo.png HTTP/1.1" 200 41429
0:0:0:0:0:0:0:1 - - [13/May/2024:09:25:51 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2024:09:26:49 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&board_id=53 HTTP/1.1" 200 8941
0:0:0:0:0:0:0:1 - - [13/May/2024:09:26:49 +0900] "GET /resources/board/list.css HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [13/May/2024:09:26:49 +0900] "GET /resources/main/logo.png HTTP/1.1" 200 41429
0:0:0:0:0:0:0:1 - - [13/May/2024:09:26:49 +0900] "GET /resources/main/kakaotalk.png HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [13/May/2024:09:26:49 +0900] "GET /resources/main/instagram.png HTTP/1.1" 200 12512
